_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,contributors_browser,ent1_holder,ent2_holder,ent3_holder,ent4_holder,ent5_holder,ent6_holder,ent7_holder,utt_holder,utter_entity_1,utter_entity_2,utter_entity_3,utter_entity_4,utter_entity_5,utter_entity_6,utter_entity_7,utterance,contributors_browser_gold,ent1_holder_gold,ent2_holder_gold,ent3_holder_gold,ent4_holder_gold,ent5_holder_gold,ent6_holder_gold,ent7_holder_gold,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,intents,utt_holder_gold,utter_entity_1_gold,utter_entity_2_gold,utter_entity_3_gold,utter_entity_4_gold,utter_entity_5_gold,utter_entity_6_gold,utter_entity_7_gold,utterance_gold
2648808464,2/12/2020 14:54,5464324963,2/12/2020 14:41,FALSE,feca,1,45181582,VEN,19,Altagracia,190.201.105.252,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,director,salary,worker,,,,,can i ask the director for a letter of human resources showing the salary of the workers?,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:31,5464388219,2/12/2020 15:22,FALSE,feca,1,45189385,VEN,13,Agua Viva,181.208.112.12,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,Human Resources,1000,General,,,,,"i need a human resources letter to aply for my general job, which has a monthly salary of 1000",,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:32,5464390415,2/12/2020 15:11,FALSE,feca,1,45184645,VEN,15,Agua Fria,190.77.32.238,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,sr donald trump,240 dollar the day,mechanical engineer,,,,,send me your hr letter. to send it to my superior sr donald trump. for the mechanical engineer job with 240 dollar the day of paypment,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:44,5464408848,2/12/2020 15:34,FALSE,clixsense,1,45514232,VEN,25,Caracas,186.90.22.43,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36",,,,,,,,,Samsung,salary,job title,,,,,"Hi, I am requesting and HR letter, that includes my salary and my job title for Samsung.",,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:45,5464410290,2/12/2020 15:30,FALSE,neodev,1,44475911,VEN,17,Porlamar,200.82.203.179,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,Ms. Mendez,1.000.000,Petroleum Engineer,,,,,"Hi Ms. Mendez, i am Daniel Bermudez, Petroleum Engineer, I want to know about the increase of my salary, according the new company adjust, now it is 1.000.000",,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:53,5464419528,2/12/2020 15:41,FALSE,feca,1,45161396,EGY,11,Cairo,41.68.251.85,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,National Bank,net salary,working start date,,,,,Kindly support to provide me an HR letter to be provided to National bank including net salary and working start date.,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:57,5464424129,2/12/2020 15:45,FALSE,feca,1,45181447,VEN,4,Turmero,201.242.32.40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36",,,,,,,,,Mr. Lopez,Residence,Salary,,,,,Please give a letter for Mr. Lopez and mention on it his residence and salary,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 15:57,5464424139,2/12/2020 15:41,FALSE,feca,1,45450822,IND,10,Rohtak,157.36.218.70,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36",,,,,,,,,inder,salary,accountant,,,,,inder accountant requesting a lettet to hr about salary,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 16:09,5464447810,2/12/2020 15:44,FALSE,feca,1,45323184,VEN,13,Barquisimeto,186.91.114.135,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,jan 3rd,23-Feb,january 7th,,,,,I want to change ty vacation from jan 3rd to feb 23 tobe between january 6th and february 10th.,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 16:30,5464495373,2/12/2020 16:11,FALSE,neodev,1,45215691,VEN,13,Barquisimeto,190.200.145.229,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:73.0) Gecko/20100101 Firefox/73.0,,,,,,,,,Shawn,vacations,Manager,,,,,Please submit a letter to Shawn from HR about the manager's vacations,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 17:42,5464641291,2/12/2020 17:38,FALSE,neodev,1,43692556,VEN,17,Altagracia,186.93.69.112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36",,,,,,,,,Tom,salary,job title,,,,,I want to send an employment letter to Tom that includes salary and job title,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 17:49,5464654760,2/12/2020 17:41,FALSE,feca,1,45180756,VEN,17,Altagracia,201.209.157.27,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.87 Safari/537.36",,,,,,,,,Human Resources,Working Time,Secretary,,,,,"I need a letter from Human Resources for next week, it has to content my job title and my working time.",,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 18:18,5464720874,2/12/2020 18:15,FALSE,feca,1,45161881,COL,34,Bogota,179.51.101.2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.130 Safari/537.36",,,,,,,,,henry,salary,manager,,,,,henry your salary as manager was approved,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
2648808464,2/12/2020 18:46,5464780922,2/12/2020 18:39,FALSE,clixsense,1,38880452,MKD,41,Skopje,89.205.125.157,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.100 Safari/537.36",,,,,,,,,American Embassy,net salary,job title,,,,,I would need an employment letter with a net salary and my job title in order to submit it to the American Embassy with the other documentation for a visa.,,,,,,,,,Who the letter is going to be submitted to,Detail to Include (i.e. salary),Detail to Include (i.e. job title),,,,Requsting an HR letter,,,,,,,,,
